State,EV_Sales_Quantity,Stations,Population,EVs_per_Station,Stations_per_Million
Andaman & Nicobar Island,202.0,3.0,380581,67.33,7.88
Andhra Pradesh,77356.0,327.0,49577103,236.56,6.6
Arunachal Pradesh,40.0,9.0,1383727,4.44,6.5
Assam,151917.0,86.0,31205576,1766.48,2.76
Bihar,213465.0,124.0,104099452,1721.49,1.19
Chandigarh,11453.0,12.0,1055450,954.42,11.37
Chhattisgarh,75275.0,149.0,25545198,505.2,5.83
DNH and DD,431.0,1.0,585764,431.0,1.71
Delhi,268538.0,1886.0,16787941,142.38,112.34
Goa,17382.0,113.0,1458545,153.82,77.47
Gujarat,176713.0,476.0,60439692,371.25,7.88
Haryana,85250.0,377.0,25351462,226.13,14.87
Himachal Pradesh,2886.0,44.0,6864602,65.59,6.41
Jammu and Kashmir,16840.0,47.0,12267032,358.3,3.83
Jharkhand,47871.0,135.0,32988134,354.6,4.09
Karnataka,315498.0,5130.0,61095297,61.5,83.97
Kerala,133246.0,958.0,33406061,139.09,28.68
Ladakh,88.0,,274000,,
Madhya Pradesh,133182.0,341.0,72626809,390.56,4.7
Maharashtra,401535.0,3083.0,112374333,130.24,27.44
Manipur,1284.0,17.0,2570390,75.53,6.61
Meghalaya,208.0,21.0,2966889,9.9,7.08
Mizoram,235.0,,1097206,,
Nagaland,52.0,6.0,1978502,8.67,3.03
Odisha,86823.0,198.0,41974219,438.5,4.72
Puducherry,5139.0,23.0,1247953,223.43,18.43
Punjab,49285.0,158.0,27743338,311.93,5.7
Rajasthan,228573.0,500.0,68548437,457.15,7.29
Sikkim,4.0,2.0,610577,2.0,3.28
Tamil Nadu,206902.0,643.0,72147030,321.78,8.91
Tripura,18346.0,18.0,3673917,1019.22,4.9
Uttar Pradesh,732074.0,583.0,199812341,1255.7,2.92
Uttarakhand,57606.0,76.0,10086292,757.97,7.53
West Bengal,78112.0,318.0,91276115,245.64,3.48
